2,go out elevator,2020-01-19 17:24:38.438,2020-01-19 17:25:10.502,15.989,,23.278,EVT6-2-12,0,2020-01-19 17:24:38.438
2,go out elevator,2020-01-19 17:24:38.438,2020-01-19 17:25:10.502,15.989,,23.278,EVT6-2-12,0,2020-01-19 17:24:38.438
8,go out elevator,2020-01-19 17:34:26.561,2020-01-19 17:35:10.638,14.143,,22.826999999999998,EVT6-2-12,1,2020-01-19 17:34:26.561
8,go out elevator,2020-01-19 17:34:26.561,2020-01-19 17:35:10.638,14.143,,22.826999999999998,EVT6-2-12,1,2020-01-19 17:34:26.561
9,go out elevator,2020-01-19 14:19:49.869,2020-01-19 14:20:20.930,15.402,,8.873,EVT6-2-15,0,2020-01-19 14:19:49.869
9,go out elevator,2020-01-19 14:19:49.869,2020-01-19 14:20:20.930,15.402,,8.873,EVT6-2-15,0,2020-01-19 14:19:49.869
10,go out elevator,2020-01-19 14:22:57.206,2020-01-19 14:23:26.262,14.085,,10.658,EVT6-2-15,1,2020-01-19 14:22:57.206
10,go out elevator,2020-01-19 14:22:57.206,2020-01-19 14:23:26.262,14.085,,10.658,EVT6-2-15,1,2020-01-19 14:22:57.206
12,go in elevator,2020-01-19 16:10:51.351,,,28.172,,EVT6-2-15,2,2020-01-19 16:10:51.351
13,go in elevator,2020-01-19 16:12:09.582,,,9.736,,EVT6-2-15,2,2020-01-19 16:12:09.582
15,go in elevator,2020-01-19 16:13:53.825,,,,,EVT6-2-15,2,2020-01-19 16:13:53.825
40,go in elevator,2020-01-19 16:39:29.332,,,,,EVT6-2-16,19,2020-01-19 16:39:29.332
45,go out elevator,2020-01-19 14:05:20.056,2020-01-19 14:06:02.194,15.21,,8.016,EVT6-2-18,0,2020-01-19 14:05:20.056
45,go out elevator,2020-01-19 14:05:20.056,2020-01-19 14:06:02.194,15.21,,8.016,EVT6-2-18,0,2020-01-19 14:05:20.056
46,go out elevator,2020-01-19 14:09:08.381,2020-01-19 14:09:32.843,13.268,,8.105,EVT6-2-18,1,2020-01-19 14:09:08.381
46,go out elevator,2020-01-19 14:09:08.381,2020-01-19 14:09:32.843,13.268,,8.105,EVT6-2-18,1,2020-01-19 14:09:08.381
47,go out elevator,2020-01-19 14:11:45.990,2020-01-19 14:12:15.194,18.85,,8.279,EVT6-2-18,2,2020-01-19 14:11:45.990
47,go out elevator,2020-01-19 14:11:45.990,2020-01-19 14:12:15.194,18.85,,8.279,EVT6-2-18,2,2020-01-19 14:11:45.990
48,go out elevator,2020-01-19 14:14:02.329,2020-01-19 14:14:28.373,15.651,,7.634,EVT6-2-18,3,2020-01-19 14:14:02.329
49,go out elevator,2020-01-19 14:16:51.902,2020-01-19 14:17:15.959,14.183,,8.534,EVT6-2-18,4,2020-01-19 14:16:51.902
49,go out elevator,2020-01-19 14:16:51.902,2020-01-19 14:17:15.959,14.183,,8.534,EVT6-2-18,4,2020-01-19 14:16:51.902
50,go out elevator,2020-01-19 14:18:53.245,2020-01-19 14:19:17.286,13.949,,7.982,EVT6-2-18,5,2020-01-19 14:18:53.245
50,go out elevator,2020-01-19 14:18:53.245,2020-01-19 14:19:17.286,13.949,,7.982,EVT6-2-18,5,2020-01-19 14:18:53.245
51,go out elevator,2020-01-19 14:20:49.482,2020-01-19 14:21:17.533,16.915,,8.218,EVT6-2-18,6,2020-01-19 14:20:49.482
52,go out elevator,2020-01-19 14:24:09.816,2020-01-19 14:24:33.903,13.848,,7.8469999999999995,EVT6-2-18,7,2020-01-19 14:24:09.816
52,go out elevator,2020-01-19 14:24:09.816,2020-01-19 14:24:33.903,13.848,,7.8469999999999995,EVT6-2-18,7,2020-01-19 14:24:09.816
53,go out elevator,2020-01-19 14:26:56.144,2020-01-19 14:27:24.198,17.88,,8.354,EVT6-2-18,8,2020-01-19 14:26:56.144
53,go out elevator,2020-01-19 14:26:56.144,2020-01-19 14:27:24.198,17.88,,8.354,EVT6-2-18,8,2020-01-19 14:26:56.144
54,go out elevator,2020-01-19 14:29:30.438,2020-01-19 14:29:56.488,15.482,,9.567,EVT6-2-18,9,2020-01-19 14:29:30.438
54,go out elevator,2020-01-19 14:29:30.438,2020-01-19 14:29:56.488,15.482,,9.567,EVT6-2-18,9,2020-01-19 14:29:30.438
55,go out elevator,2020-01-19 14:32:12.762,2020-01-19 14:32:37.807,14.347,,8.299,EVT6-2-18,10,2020-01-19 14:32:12.762
55,go out elevator,2020-01-19 14:32:12.762,2020-01-19 14:32:37.807,14.347,,8.299,EVT6-2-18,10,2020-01-19 14:32:12.762
56,go out elevator,2020-01-19 14:34:05.028,2020-01-19 14:34:30.081,14.289,,7.529,EVT6-2-18,11,2020-01-19 14:34:05.028
56,go out elevator,2020-01-19 14:34:05.028,2020-01-19 14:34:30.081,14.289,,7.529,EVT6-2-18,11,2020-01-19 14:34:05.028
57,go out elevator,2020-01-19 14:36:16.296,2020-01-19 14:36:42.418,15.617,,8.271,EVT6-2-18,12,2020-01-19 14:36:16.296
57,go out elevator,2020-01-19 14:36:16.296,2020-01-19 14:36:42.418,15.617,,8.271,EVT6-2-18,12,2020-01-19 14:36:16.296
58,go out elevator,2020-01-19 14:39:53.040,2020-01-19 14:40:28.088,14.227,,7.462,EVT6-2-18,13,2020-01-19 14:39:53.040
58,go out elevator,2020-01-19 14:39:53.040,2020-01-19 14:40:28.088,14.227,,7.462,EVT6-2-18,13,2020-01-19 14:39:53.040
60,go out elevator,2020-01-19 14:45:49.936,2020-01-19 14:46:20.004,14.925,,10.811,EVT6-2-18,15,2020-01-19 14:45:49.936
60,go out elevator,2020-01-19 14:45:49.936,2020-01-19 14:46:20.004,14.925,,10.811,EVT6-2-18,15,2020-01-19 14:45:49.936
61,go out elevator,2020-01-19 15:01:20.242,2020-01-19 15:01:51.368,14.935,,9.52,EVT6-2-18,16,2020-01-19 15:01:20.242
61,go out elevator,2020-01-19 15:01:20.242,2020-01-19 15:01:51.368,14.935,,9.52,EVT6-2-18,16,2020-01-19 15:01:20.242
62,go out elevator,2020-01-19 15:10:50.000,2020-01-19 15:11:20.062,14.266,,10.008,EVT6-2-18,17,2020-01-19 15:10:50.000
62,go out elevator,2020-01-19 15:10:50.000,2020-01-19 15:11:20.062,14.266,,10.008,EVT6-2-18,17,2020-01-19 15:10:50.000
63,go out elevator,2020-01-19 15:34:00.481,2020-01-19 15:34:31.543,14.13,,20.11,EVT6-2-18,18,2020-01-19 15:34:00.481
63,go out elevator,2020-01-19 15:34:00.481,2020-01-19 15:34:31.543,14.13,,20.11,EVT6-2-18,18,2020-01-19 15:34:00.481
64,go out elevator,2020-01-19 15:37:19.847,2020-01-19 15:37:50.907,14.153,,8.384,EVT6-2-18,19,2020-01-19 15:37:19.847
66,go out elevator,2020-01-19 15:42:28.796,2020-01-19 15:43:04.860,26.335,,8.344,EVT6-2-18,20,2020-01-19 15:42:28.796
67,go out elevator,2020-01-19 15:45:38.391,2020-01-19 15:46:05.452,16.854,,8.162,EVT6-2-18,21,2020-01-19 15:45:38.391
67,go out elevator,2020-01-19 15:45:38.391,2020-01-19 15:46:05.452,16.854,,8.162,EVT6-2-18,21,2020-01-19 15:45:38.391
68,go out elevator,2020-01-19 15:57:26.959,2020-01-19 15:57:59.021,21.735,,7.823,EVT6-2-18,22,2020-01-19 15:57:26.959
68,go out elevator,2020-01-19 15:57:26.959,2020-01-19 15:57:59.021,21.735,,7.823,EVT6-2-18,22,2020-01-19 15:57:26.959
69,go out elevator,2020-01-19 16:00:10.279,2020-01-19 16:00:35.373,15.113,,8.871,EVT6-2-18,23,2020-01-19 16:00:10.279
69,go out elevator,2020-01-19 16:00:10.279,2020-01-19 16:00:35.373,15.113,,8.871,EVT6-2-18,23,2020-01-19 16:00:10.279
70,go out elevator,2020-01-19 16:06:07.028,2020-01-19 16:06:31.075,13.625,,13.122,EVT6-2-18,24,2020-01-19 16:06:07.028
70,go out elevator,2020-01-19 16:06:07.028,2020-01-19 16:06:31.075,13.625,,13.122,EVT6-2-18,24,2020-01-19 16:06:07.028
71,go out elevator,2020-01-19 16:16:02.181,2020-01-19 16:16:30.230,17.172,,8.489,EVT6-2-18,25,2020-01-19 16:16:02.181
71,go out elevator,2020-01-19 16:16:02.181,2020-01-19 16:16:30.230,17.172,,8.489,EVT6-2-18,25,2020-01-19 16:16:02.181
72,go out elevator,2020-01-19 16:18:10.475,2020-01-19 16:18:34.526,13.781,,7.878,EVT6-2-18,26,2020-01-19 16:18:10.475
72,go out elevator,2020-01-19 16:18:10.475,2020-01-19 16:18:34.526,13.781,,7.878,EVT6-2-18,26,2020-01-19 16:18:10.475
73,go out elevator,2020-01-19 16:20:56.933,2020-01-19 16:21:21.992,14.202,,7.856,EVT6-2-18,27,2020-01-19 16:20:56.933
73,go out elevator,2020-01-19 16:20:56.933,2020-01-19 16:21:21.992,14.202,,7.856,EVT6-2-18,27,2020-01-19 16:20:56.933
74,go out elevator,2020-01-19 16:25:22.956,2020-01-19 16:25:55.013,21.945,,8.171,EVT6-2-18,28,2020-01-19 16:25:22.956
74,go out elevator,2020-01-19 16:25:22.956,2020-01-19 16:25:55.013,21.945,,8.171,EVT6-2-18,28,2020-01-19 16:25:22.956
75,go out elevator,2020-01-19 16:29:43.588,2020-01-19 16:30:11.640,17.318,,8.371,EVT6-2-18,29,2020-01-19 16:29:43.588
75,go out elevator,2020-01-19 16:29:43.588,2020-01-19 16:30:11.640,17.318,,8.371,EVT6-2-18,29,2020-01-19 16:29:43.588
76,go out elevator,2020-01-19 16:33:00.914,2020-01-19 16:33:25.956,14.428,,7.726,EVT6-2-18,30,2020-01-19 16:33:00.914
76,go out elevator,2020-01-19 16:33:00.914,2020-01-19 16:33:25.956,14.428,,7.726,EVT6-2-18,30,2020-01-19 16:33:00.914
78,go out elevator,2020-01-19 16:36:38.341,2020-01-19 16:37:04.398,15.321,,8.536,EVT6-2-18,31,2020-01-19 16:36:38.341
78,go out elevator,2020-01-19 16:36:38.341,2020-01-19 16:37:04.398,15.321,,8.536,EVT6-2-18,31,2020-01-19 16:36:38.341
80,go out elevator,2020-01-19 16:40:32.818,2020-01-19 16:40:56.865,14.106,,7.912,EVT6-2-18,32,2020-01-19 16:40:32.818
80,go out elevator,2020-01-19 16:40:32.818,2020-01-19 16:40:56.865,14.106,,7.912,EVT6-2-18,32,2020-01-19 16:40:32.818
81,go out elevator,2020-01-19 16:43:08.146,2020-01-19 16:43:34.193,15.336,,29.299,EVT6-2-18,33,2020-01-19 16:43:08.146
81,go out elevator,2020-01-19 16:43:08.146,2020-01-19 16:43:34.193,15.336,,29.299,EVT6-2-18,33,2020-01-19 16:43:08.146
